,Education,Marital_Status,Income,Kids,Expenses,TotalAcceptedCmp,NumTotalPurchases,Customer_Age,Customer_For,Clusters
39,Post Graduate,Single,48948.0,0,902,1,24,81,513,1
40,Post Graduate,Relationship,80011.0,1,1395,0,21,44,426,1
41,Post Graduate,Relationship,20559.0,1,53,0,7,39,474,0
42,Post Graduate,Relationship,21994.0,1,22,0,4,67,552,2
43,Post Graduate,Single,51381.5,0,186,0,9,65,236,2
44,Post Graduate,Relationship,7500.0,1,31,0,8,49,270,0
45,Post Graduate,Single,79941.0,0,984,0,16,48,1,4
46,Post Graduate,Relationship,7500.0,0,122,0,10,28,597,0
47,Post Graduate,Relationship,41728.0,1,55,0,5,56,401,0
48,Post Graduate,Single,51381.5,3,124,0,10,73,179,2
49,Post Graduate,Relationship,72550.0,2,1319,0,28,70,598,1
50,Post Graduate,Single,65486.0,1,507,0,17,67,48,4
51,Post Graduate,Relationship,79143.0,0,1693,0,29,60,687,1
52,Post Graduate,Single,35790.0,1,72,0,7,47,543,0
53,Post Graduate,Single,82582.0,0,1617,2,21,47,22,3
54,Post Graduate,Relationship,66373.0,2,606,0,23,46,382,1
55,Post Graduate,Relationship,82384.0,0,1957,1,27,69,587,3
56,Post Graduate,Single,70287.0,0,1093,0,21,58,453,1
57,Post Graduate,Single,27938.0,1,29,0,6,36,62,0
58,Post Graduate,Single,51381.5,1,46,0,7,42,377,0
59,Post Graduate,Relationship,55954.0,1,518,0,19,56,118,4
60,Post Graduate,Single,75777.0,0,1438,2,21,42,360,3
61,Post Graduate,Relationship,66653.0,2,612,0,22,49,660,1
62,Post Graduate,Single,61823.0,1,884,0,24,72,496,1
63,Post Graduate,Single,67680.0,1,606,0,19,73,383,1
64,Post Graduate,Relationship,70666.0,0,1076,0,16,76,205,4
65,Post Graduate,Relationship,25721.0,1,34,0,5,53,404,0
66,Post Graduate,Relationship,32474.0,2,11,0,4,57,49,2
67,Post Graduate,Single,88194.0,1,1274,2,32,45,102,3
68,Post Graduate,Relationship,69096.0,1,653,0,18,66,275,4
69,Post Graduate,Relationship,74854.0,3,1562,0,19,54,447,1
70,Post Graduate,Relationship,66991.0,0,1253,0,21,70,656,1
71,Post Graduate,Relationship,51381.5,1,109,0,9,51,653,0
72,Post Graduate,Relationship,65031.0,1,863,0,30,65,469,1
73,Post Graduate,Relationship,60631.0,2,661,1,24,49,450,1
74,Post Graduate,Relationship,28332.0,0,65,0,8,72,60,2
75,Post Graduate,Single,40246.0,1,13,0,4,47,557,0
76,Post Graduate,Relationship,75251.0,0,1890,0,19,52,671,3
77,Post Graduate,Single,75825.0,0,2209,1,22,48,625,3
78,Post Graduate,Relationship,26326.0,0,18,0,4,48,298,0
79,Post Graduate,Relationship,56046.0,0,692,1,21,59,543,1
80,Post Graduate,Single,29760.0,1,165,0,12,39,669,0
81,Post Graduate,Relationship,26304.0,1,16,0,4,55,371,0
82,Post Graduate,Relationship,23559.0,1,79,0,9,51,361,0
83,Post Graduate,Relationship,38620.0,0,318,0,11,61,414,0
84,Post Graduate,Single,81361.0,0,778,0,27,37,124,3
85,Post Graduate,Relationship,29440.0,2,56,0,7,64,322,2
86,Post Graduate,Relationship,36138.0,2,151,1,13,54,348,2
87,Post Graduate,Single,50388.0,1,372,2,17,67,32,4
88,Post Graduate,Relationship,79593.0,0,1366,1,19,51,48,3
89,Post Graduate,Relationship,54178.0,1,194,0,10,57,159,2
90,Post Graduate,Relationship,51381.5,3,603,0,29,67,587,1
91,Post Graduate,Single,51381.5,2,18,0,4,67,33,2
92,Post Graduate,Relationship,51381.5,0,985,0,15,51,218,4
93,Post Graduate,Single,42394.0,1,32,0,5,52,98,2
94,Post Graduate,Relationship,23626.0,1,43,0,10,54,36,2
95,Post Graduate,Relationship,30096.0,1,45,0,6,41,38,0
96,Post Graduate,Single,47916.0,1,606,1,22,64,584,1
97,Post Graduate,Single,51813.0,2,63,0,7,52,444,2
98,Post Graduate,Relationship,78497.0,0,978,1,25,73,210,4
99,Post Graduate,Relationship,50150.0,0,410,0,16,41,374,0
100,Post Graduate,Single,47823.0,1,72,0,7,64,341,2
101,Post Graduate,Single,34554.0,1,55,0,7,65,91,2
102,Post Graduate,Relationship,85693.0,1,1169,0,27,45,435,1
103,Post Graduate,Relationship,65846.0,0,1120,0,16,79,408,4
104,Post Graduate,Relationship,87195.0,0,1097,0,20,65,52,4
105,Under Graduate,Relationship,24594.0,1,29,0,5,45,201,0
106,Post Graduate,Relationship,49096.0,2,187,0,13,60,278,2
107,Post Graduate,Relationship,52413.0,2,910,0,26,55,512,1
108,Post Graduate,Single,38557.0,1,145,0,9,46,557,0
109,Post Graduate,Relationship,89058.0,0,850,0,14,64,569,1
110,Post Graduate,Relationship,77298.0,1,969,0,24,45,239,4
111,Post Graduate,Single,68126.0,0,1820,1,17,33,596,3
112,Post Graduate,Relationship,57288.0,1,608,1,20,61,4,4
113,Post Graduate,Single,86037.0,0,730,2,25,33,543,3
114,Post Graduate,Relationship,43974.0,1,551,0,21,44,564,1
115,Post Graduate,Single,50785.0,2,114,0,8,62,292,2
116,Post Graduate,Relationship,90765.0,0,1724,2,15,54,156,3
117,Post Graduate,Relationship,36550.0,1,577,0,20,46,495,1
118,Post Graduate,Relationship,30753.0,2,81,0,7,57,353,2
119,Post Graduate,Relationship,21918.0,1,33,0,7,55,227,2
120,Post Graduate,Relationship,56129.0,1,660,0,22,71,374,1
121,Post Graduate,Single,32557.0,1,80,0,9,57,125,2
122,Post Graduate,Relationship,19510.0,2,30,0,6,39,298,0
123,Post Graduate,Single,30992.0,1,43,0,5,48,433,0
124,Post Graduate,Single,101970.0,0,1135,3,27,41,474,3
125,Post Graduate,Relationship,71488.0,0,559,0,16,59,496,1
126,Post Graduate,Single,79607.0,0,1923,0,16,40,434,3
127,Post Graduate,Relationship,54348.0,2,90,0,8,71,21,2
128,Post Graduate,Relationship,51381.5,1,404,0,17,63,353,2
129,Post Graduate,Relationship,77376.0,2,661,0,23,68,50,4
130,Post Graduate,Relationship,62998.0,1,463,0,19,72,272,4
131,Post Graduate,Single,61331.0,2,632,0,23,66,476,1
132,Post Graduate,Relationship,73448.0,0,725,0,19,55,139,4
133,Post Graduate,Relationship,51381.5,1,725,0,19,61,322,1
134,Post Graduate,Relationship,41551.0,2,279,0,16,60,319,2
135,Post Graduate,Relationship,62981.0,0,1482,1,23,57,469,3
136,Under Graduate,Single,9548.0,1,29,0,6,48,690,0
137,Post Graduate,Relationship,33762.0,3,106,0,9,65,357,2
138,Post Graduate,Single,35860.0,2,49,1,6,51,41,2
139,Post Graduate,Single,36921.0,2,38,0,7,59,336,2
140,Post Graduate,Single,92859.0,0,2077,0,22,32,618,3
141,Post Graduate,Relationship,65104.0,1,1053,0,17,48,227,4
142,Post Graduate,Relationship,86111.0,0,1385,0,23,62,436,3
143,Post Graduate,Single,68352.0,1,871,0,25,50,305,1
144,Post Graduate,Relationship,41883.0,1,312,0,12,36,467,0
145,Post Graduate,Relationship,59809.0,2,877,0,15,48,619,1
146,Post Graduate,Relationship,23957.0,1,68,0,6,49,609,0
147,Post Graduate,Relationship,38547.0,1,22,0,4,43,305,0
148,Post Graduate,Relationship,35688.0,3,211,0,16,51,676,2
149,Post Graduate,Relationship,49605.0,0,127,0,8,58,8,2
150,Post Graduate,Relationship,59354.0,2,459,0,16,71,66,2
151,Post Graduate,Relationship,65747.0,1,460,1,19,55,114,4
152,Post Graduate,Relationship,46344.0,1,429,0,17,52,562,1
153,Post Graduate,Single,34176.0,1,89,0,11,36,48,0
154,Post Graduate,Relationship,61010.0,1,1021,0,26,72,628,1
155,Post Graduate,Relationship,69372.0,0,1381,2,21,75,495,3
156,Post Graduate,Single,49967.0,1,306,0,15,66,356,2
157,Post Graduate,Single,60199.0,3,18,0,4,46,290,2
158,Post Graduate,Relationship,55375.0,1,162,0,9,47,255,0
159,Post Graduate,Single,80317.0,0,1231,0,18,69,313,4
160,Post Graduate,Single,30523.0,3,13,0,4,66,363,2
161,Post Graduate,Relationship,70356.0,0,1706,0,27,79,601,1
162,Post Graduate,Relationship,23228.0,1,121,0,11,40,175,0
163,Post Graduate,Single,74165.0,0,1293,0,20,49,424,3
165,Post Graduate,Relationship,43482.0,3,88,0,9,58,228,2
166,Post Graduate,Single,62551.0,0,421,1,18,71,223,4
167,Post Graduate,Single,52332.0,0,259,1,12,65,305,4
168,Post Graduate,Single,66951.0,0,1117,0,15,36,239,3
169,Post Graduate,Relationship,26091.0,2,89,0,9,67,124,2
170,Post Graduate,Relationship,33456.0,2,36,0,6,59,69,2
171,Post Graduate,Relationship,28718.0,1,57,0,7,42,351,0
172,Post Graduate,Relationship,50447.0,2,148,0,8,54,69,2
173,Post Graduate,Relationship,53537.0,2,93,0,8,65,150,2
174,Post Graduate,Single,52074.0,1,119,1,7,57,86,2
175,Post Graduate,Relationship,80427.0,1,1835,0,28,49,655,1
176,Post Graduate,Relationship,83837.0,0,1318,2,25,76,560,3
177,Post Graduate,Relationship,38853.0,2,45,0,7,54,37,2
178,Post Graduate,Relationship,38285.0,3,10,0,4,65,5,2
179,Post Graduate,Relationship,78497.0,0,978,1,25,73,210,4
180,Post Graduate,Relationship,51650.0,1,191,0,10,48,49,2
181,Post Graduate,Relationship,16248.0,1,57,0,9,36,50,0
182,Post Graduate,Relationship,66835.0,0,1033,0,24,78,274,4
183,Post Graduate,Relationship,30477.0,1,66,0,6,40,158,0
184,Under Graduate,Relationship,28249.0,0,43,0,6,63,14,2
185,Post Graduate,Relationship,25271.0,1,50,0,5,41,571,0
186,Post Graduate,Single,32303.0,1,39,0,7,54,113,2
187,Post Graduate,Relationship,61286.0,1,608,0,18,58,331,1
188,Post Graduate,Relationship,74068.0,0,1581,0,24,48,467,3
189,Post Graduate,Relationship,45759.0,2,68,0,7,60,491,2
190,Under Graduate,Relationship,24882.0,1,80,1,5,46,658,0
191,Post Graduate,Relationship,66973.0,0,1282,0,28,35,408,3
193,Post Graduate,Relationship,38872.0,1,91,0,8,36,395,0
194,Post Graduate,Relationship,51148.0,2,315,0,16,51,496,2
195,Post Graduate,Relationship,31353.0,2,31,0,6,47,182,2
196,Post Graduate,Relationship,69661.0,0,834,0,23,44,47,4
197,Post Graduate,Relationship,80067.0,0,1600,1,17,70,283,4
198,Post Graduate,Relationship,86718.0,0,1270,0,17,70,528,1
199,Post Graduate,Single,46854.0,2,263,1,15,51,90,2
200,Post Graduate,Single,69142.0,1,535,1,19,72,0,4
201,Post Graduate,Single,75922.0,0,1295,0,18,56,202,4
202,Post Graduate,Single,63693.0,1,1150,0,29,46,258,4
203,Post Graduate,Relationship,102160.0,0,1240,3,26,47,604,3
204,Post Graduate,Single,40637.0,2,38,0,6,59,347,2
205,Post Graduate,Single,18890.0,0,35,1,4,40,596,0
206,Post Graduate,Relationship,29604.0,1,53,1,5,36,203,0
207,Post Graduate,Single,48721.0,2,293,0,17,61,412,2
208,Post Graduate,Relationship,44794.0,1,65,0,6,58,21,2
209,Post Graduate,Single,64497.0,1,1804,1,29,70,657,1
210,Post Graduate,Relationship,46097.0,1,241,0,15,68,455,2
211,Post Graduate,Relationship,77972.0,0,1101,0,20,70,103,4
212,Post Graduate,Relationship,44377.0,2,264,0,19,56,632,1
213,Post Graduate,Relationship,46014.0,2,541,0,26,50,524,1
214,Post Graduate,Relationship,70951.0,0,1198,0,17,39,421,3
215,Post Graduate,Relationship,41443.0,1,482,0,20,47,89,2
216,Post Graduate,Single,52195.0,3,17,0,4,46,48,2
217,Post Graduate,Relationship,83790.0,0,1615,2,25,76,226,3
218,Post Graduate,Single,44551.0,1,285,0,12,70,302,2
219,Post Graduate,Relationship,69508.0,1,1135,0,28,44,592,1
220,Post Graduate,Relationship,45204.0,1,114,0,7,36,79,0
221,Post Graduate,Relationship,72460.0,0,1047,0,16,55,227,4
222,Post Graduate,Relationship,77622.0,2,714,0,22,54,76,4
223,Post Graduate,Relationship,30732.0,1,185,0,13,44,540,0
224,Post Graduate,Single,63887.0,1,1245,0,32,62,659,1
225,Post Graduate,Relationship,42011.0,1,189,0,12,46,460,0
226,Post Graduate,Relationship,51369.0,1,576,0,16,48,612,1
227,Post Graduate,Single,51537.0,1,1103,0,18,72,567,1
228,Post Graduate,Relationship,79930.0,0,1753,0,17,52,690,3
229,Post Graduate,Relationship,34320.0,1,17,0,4,38,133,0
230,Post Graduate,Single,37070.0,2,433,0,23,58,466,1
231,Post Graduate,Single,81975.0,1,1588,1,14,62,540,1
232,Post Graduate,Relationship,38590.0,1,22,0,4,53,410,0
233,Post Graduate,Single,15033.0,0,19,0,5,73,74,2
234,Post Graduate,Relationship,62745.0,1,1117,0,29,59,463,1
235,Post Graduate,Relationship,22212.0,1,69,0,8,49,202,0
236,Post Graduate,Relationship,23661.0,1,23,0,5,42,207,0
237,Post Graduate,Single,79761.0,1,605,0,19,66,268,4
238,Post Graduate,Single,7500.0,1,57,0,11,51,185,0
240,Post Graduate,Single,73455.0,0,2088,1,22,56,244,3
241,Post Graduate,Relationship,64961.0,1,1009,0,16,66,553,1
242,Post Graduate,Single,22804.0,1,26,0,5,53,333,0
243,Post Graduate,Relationship,73687.0,0,1627,1,22,34,213,3
244,Post Graduate,Relationship,61074.0,1,1102,0,31,66,681,1
245,Post Graduate,Relationship,31686.0,2,17,0,6,60,24,2
246,Post Graduate,Relationship,80134.0,1,1690,3,16,52,405,3
247,Post Graduate,Relationship,75027.0,1,1390,0,21,71,536,1
248,Post Graduate,Relationship,67546.0,0,2126,0,20,36,667,3
249,Post Graduate,Relationship,65176.0,1,1531,0,25,55,608,1
250,Post Graduate,Single,31160.0,1,64,0,7,49,286,0
251,Post Graduate,Single,29938.0,1,26,0,6,39,245,0
252,Post Graduate,Single,102692.0,0,1112,4,29,50,450,3
253,Post Graduate,Relationship,26490.0,0,210,0,11,66,645,0
254,Post Graduate,Relationship,75702.0,2,1148,0,26,57,669,1
255,Post Graduate,Single,30899.0,1,33,0,6,50,624,0
256,Post Graduate,Relationship,63342.0,1,1101,1,19,63,621,1
257,Post Graduate,Single,45989.0,1,322,0,16,60,615,1
258,Post Graduate,Single,18701.0,2,44,0,10,60,390,2
259,Post Graduate,Single,40737.0,3,17,0,4,67,203,2
260,Post Graduate,Single,15287.0,1,31,1,6,45,627,0
261,Post Graduate,Single,69674.0,2,845,0,25,56,403,1
262,Post Graduate,Relationship,44159.0,1,275,0,15,54,12,2
263,Post Graduate,Relationship,37717.0,1,25,0,4,46,583,0
264,Post Graduate,Relationship,43776.0,2,275,0,17,72,511,2
265,Post Graduate,Relationship,38179.0,2,90,0,11,58,472,2
266,Post Graduate,Relationship,80124.0,0,1495,1,19,61,3,4
267,Post Graduate,Relationship,38097.0,2,184,1,11,54,622,0
268,Post Graduate,Relationship,72940.0,0,981,0,13,54,375,4
269,Post Graduate,Relationship,22070.0,1,67,0,8,54,268,0
270,Post Graduate,Single,69267.0,0,1635,0,14,71,645,1
271,Post Graduate,Single,31788.0,1,60,0,10,41,101,0
272,Post Graduate,Relationship,61905.0,1,231,0,12,49,145,2
273,Post Graduate,Relationship,29315.0,2,48,0,10,64,84,2
274,Post Graduate,Single,33378.0,2,99,0,9,61,508,2
275,Post Graduate,Relationship,66313.0,1,770,0,23,61,286,4
276,Post Graduate,Single,60714.0,0,957,0,23,68,528,1
277,Post Graduate,Relationship,77882.0,0,818,0,12,43,60,4
278,Post Graduate,Single,69867.0,0,925,1,17,38,453,3
279,Post Graduate,Single,63841.0,1,908,0,22,56,434,1
280,Under Graduate,Relationship,24480.0,1,102,0,10,43,503,0
281,Post Graduate,Relationship,51369.0,1,576,0,16,48,612,1
282,Post Graduate,Relationship,37760.0,0,317,0,13,78,667,1
283,Post Graduate,Relationship,65640.0,1,461,0,15,50,120,4
284,Post Graduate,Relationship,44319.0,2,37,0,7,49,73,2
285,Post Graduate,Relationship,30631.0,1,70,0,7,50,352,0
286,Post Graduate,Relationship,75278.0,0,930,0,23,72,516,1
287,Post Graduate,Relationship,50898.0,2,859,0,33,68,537,1
288,Post Graduate,Single,79946.0,0,1478,0,22,58,48,4
289,Post Graduate,Single,35416.0,0,390,0,16,75,381,1
290,Post Graduate,Relationship,32414.0,0,52,1,5,40,360,0
291,Post Graduate,Relationship,38361.0,1,137,0,10,55,184,2
292,Post Graduate,Relationship,82497.0,0,1919,1,19,44,606,3
293,Post Graduate,Relationship,16626.0,2,68,0,9,53,165,2
294,Post Graduate,Relationship,29672.0,2,25,0,4,59,474,2
295,Post Graduate,Relationship,55951.0,1,1374,2,23,72,675,1
296,Post Graduate,Single,35388.0,1,32,0,5,36,479,0
297,Post Graduate,Relationship,42386.0,1,100,0,7,38,532,0
298,Post Graduate,Single,68627.0,0,825,0,12,42,533,1
299,Post Graduate,Single,57912.0,1,916,1,28,59,104,4
300,Post Graduate,Single,35246.0,2,62,0,11,66,74,2
301,Post Graduate,Relationship,58821.0,1,728,0,21,68,260,4
302,Post Graduate,Relationship,46377.0,1,90,0,7,46,120,0
303,Post Graduate,Single,39747.0,1,273,0,13,36,77,0
304,Post Graduate,Relationship,23976.0,1,66,0,10,40,184,0
305,Post Graduate,Relationship,80950.0,0,1213,1,23,63,458,3
306,Post Graduate,Single,27038.0,0,107,0,7,58,649,0
307,Post Graduate,Single,77457.0,0,1157,1,18,77,116,4
308,Post Graduate,Relationship,64100.0,1,546,1,18,60,292,4
309,Post Graduate,Relationship,42670.0,0,241,0,11,32,428,0
310,Post Graduate,Single,12571.0,1,53,0,11,48,162,0
311,Post Graduate,Relationship,22574.0,3,37,0,7,57,244,2
312,Post Graduate,Relationship,51381.5,0,1611,2,24,35,391,3
313,Post Graduate,Single,70893.0,0,1508,0,23,48,508,3
314,Post Graduate,Relationship,54198.0,2,235,0,16,58,194,2
315,Post Graduate,Relationship,28839.0,2,32,0,7,68,110,2
316,Post Graduate,Relationship,40321.0,2,102,0,8,52,335,2
317,Post Graduate,Single,66503.0,1,401,0,15,39,684,1
318,Post Graduate,Relationship,30833.0,2,28,0,6,73,348,2
319,Post Graduate,Single,51381.5,3,1052,2,21,54,310,4
320,Post Graduate,Relationship,64795.0,1,680,0,21,53,528,1
321,Post Graduate,Relationship,34421.0,1,30,0,4,50,363,0
322,Post Graduate,Single,47025.0,2,20,0,4,59,140,2
323,Post Graduate,Single,64325.0,1,1307,0,23,63,507,1
324,Post Graduate,Single,40464.0,1,630,0,24,71,534,1
325,Post Graduate,Relationship,62187.0,0,1283,0,18,67,359,4
326,Post Graduate,Single,14849.0,1,65,0,9,48,362,0
327,Post Graduate,Relationship,27255.0,1,37,0,5,40,234,0
328,Post Graduate,Relationship,54432.0,3,38,0,5,74,416,2
329,Post Graduate,Single,29999.0,1,160,0,12,38,501,0
330,Post Graduate,Single,24072.0,1,23,0,4,41,439,0
331,Post Graduate,Single,33996.0,0,71,0,6,35,291,0
332,Post Graduate,Relationship,66334.0,1,1161,0,19,68,452,1
333,Post Graduate,Relationship,35178.0,1,59,1,5,53,535,0
334,Post Graduate,Relationship,22010.0,1,33,0,7,41,364,0
335,Post Graduate,Single,62204.0,2,946,0,22,64,655,1
336,Post Graduate,Single,75693.0,0,1442,3,22,56,570,3
337,Post Graduate,Relationship,30675.0,1,62,0,5,52,594,0
338,Post Graduate,Relationship,83003.0,0,1674,1,22,59,483,3
340,Post Graduate,Single,68655.0,0,1538,0,21,36,688,3
341,Post Graduate,Single,41411.0,0,139,0,8,38,204,0
342,Post Graduate,Relationship,55212.0,1,1182,2,20,55,583,3
343,Post Graduate,Relationship,59292.0,1,507,0,18,74,381,1
344,Under Graduate,Relationship,27190.0,1,18,1,4,51,318,0
345,Post Graduate,Single,82623.0,0,940,0,16,72,231,4
346,Post Graduate,Relationship,44300.0,2,42,0,6,59,371,2
347,Post Graduate,Single,84835.0,0,1190,0,15,54,13,4
348,Post Graduate,Single,30372.0,2,44,0,8,53,551,0
349,Post Graduate,Relationship,33181.0,1,16,1,4,48,177,0
350,Post Graduate,Relationship,71113.0,1,835,0,26,67,194,4
351,Post Graduate,Relationship,71952.0,1,1443,2,22,38,535,3
352,Post Graduate,Single,69759.0,0,1029,0,18,58,244,4
353,Post Graduate,Relationship,72099.0,0,1188,0,18,50,610,1
354,Post Graduate,Single,60000.0,1,1277,0,24,48,554,1
355,Post Graduate,Single,38643.0,2,49,0,7,46,212,2
356,Post Graduate,Relationship,50737.0,1,99,1,7,69,414,2
357,Post Graduate,Relationship,68462.0,0,1670,0,15,55,564,1
358,Post Graduate,Relationship,65073.0,0,900,0,14,81,313,4
359,Post Graduate,Relationship,46681.0,2,425,0,16,76,264,2
360,Post Graduate,Relationship,78618.0,0,2153,1,22,67,639,3
361,Post Graduate,Single,62187.0,1,636,0,21,55,99,4
362,Post Graduate,Relationship,28442.0,2,57,0,10,46,125,2
363,Post Graduate,Relationship,37717.0,1,25,0,4,46,583,0
364,Post Graduate,Relationship,51479.0,2,494,0,22,57,548,1
365,Post Graduate,Single,54803.0,1,693,0,19,55,677,1
366,Post Graduate,Relationship,79530.0,0,1348,0,26,64,408,3
367,Post Graduate,Single,31615.0,1,51,0,7,48,470,0
368,Post Graduate,Relationship,72025.0,0,1932,0,16,62,589,1
369,Post Graduate,Single,52614.0,1,990,0,16,49,575,1
370,Post Graduate,Relationship,35684.0,1,30,0,5,40,68,0
371,Post Graduate,Relationship,48178.0,2,254,0,16,49,609,1
372,Post Graduate,Single,29548.0,1,29,1,5,54,304,0
373,Post Graduate,Single,63810.0,1,1371,1,23,58,595,1
374,Post Graduate,Single,38578.0,2,73,0,9,52,372,2
375,Post Graduate,Single,46098.0,2,120,0,11,49,680,0
376,Post Graduate,Single,22585.0,0,81,1,5,54,468,0
377,Post Graduate,Single,30279.0,1,37,0,5,35,546,0
378,Post Graduate,Relationship,66426.0,1,1377,0,20,63,270,4
379,Post Graduate,Single,30822.0,1,51,0,5,55,380,0
380,Post Graduate,Relationship,33581.0,2,17,0,4,55,537,2
381,Post Graduate,Relationship,19986.0,1,22,0,4,39,227,0
382,Post Graduate,Single,27421.0,0,324,0,14,70,564,1
383,Post Graduate,Relationship,35688.0,3,211,0,16,51,676,2
384,Post Graduate,Single,36143.0,1,19,0,4,43,91,0
385,Post Graduate,Single,10245.0,1,41,0,8,53,410,0
386,Post Graduate,Relationship,43795.0,1,492,1,17,56,256,4
387,Post Graduate,Relationship,63381.0,1,1005,0,26,64,632,1
388,Post Graduate,Relationship,38823.0,1,114,0,7,75,668,2
389,Post Graduate,Single,83664.0,2,1173,0,19,56,417,1
390,Post Graduate,Relationship,90300.0,0,1738,1,19,45,177,3
391,Post Graduate,Relationship,62499.0,1,222,0,12,45,202,0
392,Post Graduate,Single,74293.0,0,1127,0,16,31,56,3
393,Post Graduate,Relationship,51012.0,0,209,0,10,78,437,2
394,Post Graduate,Relationship,70777.0,1,787,0,23,56,124,4
395,Post Graduate,Relationship,68682.0,0,1598,0,24,33,266,3
396,Post Graduate,Relationship,43824.0,2,186,0,12,53,652,0
397,Post Graduate,Relationship,15345.0,1,47,0,6,40,667,0
398,Post Graduate,Single,23442.0,1,27,0,5,37,552,0
399,Post Graduate,Relationship,14515.0,1,96,0,11,44,597,0
400,Post Graduate,Single,31395.0,2,64,0,10,68,463,2
401,Post Graduate,Relationship,75276.0,0,1040,0,23,59,640,1
402,Post Graduate,Single,42373.0,2,163,0,13,50,318,2
403,Post Graduate,Relationship,30507.0,0,343,0,11,64,475,0
404,Post Graduate,Single,55521.0,3,446,1,24,69,250,2
405,Post Graduate,Relationship,48006.0,2,41,0,5,59,20,2
406,Post Graduate,Single,27213.0,1,70,0,9,52,668,0
407,Post Graduate,Single,65808.0,2,272,0,14,53,30,2
408,Post Graduate,Relationship,30351.0,1,46,0,6,50,388,0
409,Post Graduate,Relationship,50437.0,2,490,0,19,61,620,1
410,Post Graduate,Single,23616.0,1,79,0,8,42,589,0
411,Post Graduate,Relationship,53858.0,1,915,0,17,48,597,1
412,Post Graduate,Relationship,66465.0,1,1485,1,35,69,456,1
413,Post Graduate,Single,46923.0,1,369,0,16,37,676,0
414,Post Graduate,Relationship,75072.0,1,1073,0,19,62,522,1
415,Post Graduate,Relationship,75865.0,0,1242,0,19,81,90,4
416,Post Graduate,Relationship,19789.0,1,78,1,9,49,221,0
417,Post Graduate,Relationship,80134.0,0,1378,4,21,30,135,3
418,Post Graduate,Single,91065.0,0,1474,2,26,43,492,3
419,Post Graduate,Relationship,49505.0,2,751,0,29,53,481,1
420,Post Graduate,Relationship,37401.0,1,48,0,7,51,54,2
421,Post Graduate,Relationship,30096.0,1,45,0,6,41,38,0
422,Post Graduate,Relationship,18492.0,1,10,0,4,42,24,0
423,Post Graduate,Relationship,82584.0,0,1435,2,16,50,390,3
424,Post Graduate,Relationship,93027.0,0,2119,1,22,83,442,3
425,Post Graduate,Relationship,48686.0,3,20,0,4,71,207,2
426,Post Graduate,Relationship,92910.0,0,1795,3,27,38,66,3
427,Post Graduate,Relationship,75433.0,1,1188,2,19,35,85,3
428,Post Graduate,Relationship,10404.0,1,43,0,7,35,56,0
429,Post Graduate,Relationship,61314.0,1,1008,0,24,56,430,1
